Day,MSE_mu,Accuracy
Day 0,0.03524219958596957,0.7
Day 1,0.018002851346368084,0.74
Day 2,0.014982864007308654,0.7
Day 3,0.015848691477849838,0.78
Day 4,0.013417751362634425,0.68
Day 5,0.009815359594974465,0.76
Day 6,0.009349244753450956,0.9
Day 7,0.00887979384055516,0.82
Day 8,0.009227129891786985,0.7
Day 9,0.007790832202509925,0.88
Day 10,0.0074867676431159295,0.82
Day 11,0.008557727671444271,0.86
Day 12,0.011977777926423112,0.76
Day 13,0.009900855909113875,0.7
Day 14,0.009486186597640242,0.82
Day 15,0.007460806885899457,0.68
Day 16,0.006343221802128674,0.8
Day 17,0.008158148110418895,0.84
Day 18,0.0064312673300772295,0.8
Day 19,0.0043197499918884745,0.88
