Day,MSE_mu,Accuracy
Day 0,0.01555031497363831,0.92
Day 1,0.012551759465757715,0.84
Day 2,0.015690739485477424,0.74
Day 3,0.008265073021516682,0.86
Day 4,0.009343463405838765,0.82
Day 5,0.007758834041915357,0.72
Day 6,0.009310899960468433,0.82
Day 7,0.007728277803519584,0.86
Day 8,0.005616529359502699,0.78
Day 9,0.006036767753669125,0.9
Day 10,0.009101280040621076,0.84
Day 11,0.0065926345362254425,0.8
Day 12,0.005996441317242622,0.82
Day 13,0.004722216326147981,0.8
Day 14,0.005013642861440694,0.84
Day 15,0.0029324338267182775,0.9
Day 16,0.005817406393490835,0.88
Day 17,0.0058084282884353225,0.86
Day 18,0.0034925503135056165,0.84
Day 19,0.003783783067684702,0.94
