Day,MSE_mu,Accuracy
Day 0,0.02588955124346027,0.72
Day 1,0.010437598782315167,0.88
Day 2,0.011110377972808594,0.82
Day 3,0.0075428348718787975,0.9
Day 4,0.011840498357519642,0.76
Day 5,0.00610197250330526,0.88
Day 6,0.00810252156602343,0.84
Day 7,0.006933067933996479,0.74
Day 8,0.007214903666866636,0.78
Day 9,0.005300418201563414,0.88
Day 10,0.00522709466992859,0.84
Day 11,0.00546770808125838,0.82
Day 12,0.004966123649005053,0.9
Day 13,0.004120199001982124,0.82
Day 14,0.00543601874133817,0.9
Day 15,0.004879167180068558,0.84
Day 16,0.004819456063288401,0.84
Day 17,0.004779147090095449,0.74
Day 18,0.004068657574881459,0.9
Day 19,0.004035360629885615,0.8
