Day,MSE_mu,Accuracy
Day 0,0.034132552735327906,0.62
Day 1,0.01467280643871804,0.82
Day 2,0.01792462988083726,0.7
Day 3,0.011629271322444524,0.76
Day 4,0.009686787163766518,0.76
Day 5,0.014420241944820998,0.68
Day 6,0.011846568619565684,0.86
Day 7,0.014841518943040354,0.74
Day 8,0.0085973940848156,0.82
Day 9,0.01278788649697868,0.78
Day 10,0.010705532227710082,0.8
Day 11,0.007779329859810081,0.8
Day 12,0.009078615555374876,0.76
Day 13,0.007390446231278606,0.84
Day 14,0.0067252590288630724,0.74
Day 15,0.007687885043554455,0.84
Day 16,0.0070090145401003855,0.82
Day 17,0.007847873555684658,0.88
Day 18,0.0064179869927638925,0.78
Day 19,0.005405815234045038,0.74
