Day,MSE_mu,Accuracy
Day 0,0.02169475243890192,0.86
Day 1,0.011192776523466348,0.98
Day 2,0.013806904915555052,0.66
Day 3,0.010881390272174772,0.76
Day 4,0.011539249464359446,0.7
Day 5,0.010893710356900444,0.68
Day 6,0.009882340437541062,0.6
Day 7,0.009605348376905356,0.88
Day 8,0.0095706796852344,0.88
Day 9,0.008317147007414608,0.82
Day 10,0.007187788981661844,0.74
Day 11,0.007120622651793017,0.84
Day 12,0.005369107466982217,0.76
Day 13,0.006627296133005311,0.86
Day 14,0.006051073145076795,0.84
Day 15,0.00556267311713168,0.74
Day 16,0.003732936599321883,0.84
Day 17,0.005369476744785011,0.9
Day 18,0.004483917123196187,0.94
Day 19,0.005964782137421116,0.9
