Day,MSE_mu,Accuracy
Day 0,0.01874268007254325,0.84
Day 1,0.008553958364788602,0.84
Day 2,0.007999446708454773,0.88
Day 3,0.0056736956814023845,0.84
Day 4,0.011194288796862881,0.62
Day 5,0.008011391355537871,0.84
Day 6,0.0072682881373261135,0.88
Day 7,0.008314549799023222,0.78
Day 8,0.005245813440217275,0.84
Day 9,0.007020906858649642,0.8
Day 10,0.006547454256601605,0.84
Day 11,0.006345498343649387,0.82
Day 12,0.007155259015374852,0.76
Day 13,0.004781422734085625,0.82
Day 14,0.00528917094018971,0.82
Day 15,0.006250744580950366,0.76
Day 16,0.003416685278404438,0.86
Day 17,0.004427208878549701,0.9
Day 18,0.0036967878747073113,0.86
Day 19,0.004350538509407158,0.8
