Day,MSE_mu,Accuracy
Day 0,0.013425722905651296,0.96
Day 1,0.012837508054976531,0.76
Day 2,0.011383836320362885,0.86
Day 3,0.009842733879196246,0.9
Day 4,0.010465534691618187,0.76
Day 5,0.007800600517658351,0.88
Day 6,0.006801075962001881,0.84
Day 7,0.007719312610167058,0.8
Day 8,0.00847339572195655,0.72
Day 9,0.009710701332960755,0.84
Day 10,0.00426195416446838,0.88
Day 11,0.006338545648420498,0.82
Day 12,0.007959340850158012,0.86
Day 13,0.006340291910516932,0.82
Day 14,0.005177304051671175,0.94
Day 15,0.0072576291018156625,0.84
Day 16,0.006252711837074454,0.88
Day 17,0.005309512594453777,0.86
Day 18,0.004875565529288922,0.76
Day 19,0.004994735415059768,0.72
