Day,MSE_mu,Accuracy
Day 0,0.03675404084576112,0.62
Day 1,0.025648695283400986,0.6
Day 2,0.01874732215444159,0.64
Day 3,0.02040105638887976,0.8
Day 4,0.01529965921350354,0.84
Day 5,0.009938938848715273,0.86
Day 6,0.011429461735316289,0.92
Day 7,0.011784145696678993,0.9
Day 8,0.01202614889626668,0.84
Day 9,0.007568401738986144,0.88
Day 10,0.01038627085506744,0.82
Day 11,0.007412846601691448,0.76
Day 12,0.009791908513514212,0.86
Day 13,0.00713511848075773,0.74
Day 14,0.004326520120508766,0.76
Day 15,0.004771205743880729,0.82
Day 16,0.0061376055393640395,0.8
Day 17,0.006107905737574457,0.86
Day 18,0.006128734983922537,0.82
Day 19,0.008111765820607584,0.86
