Day,MSE_mu,Accuracy
Day 0,0.019528664981235757,0.7
Day 1,0.013899521947366782,0.76
Day 2,0.01613416261040122,0.62
Day 3,0.009816990504418062,0.76
Day 4,0.009848543829658392,0.92
Day 5,0.008418700702056909,0.76
Day 6,0.010524335799448878,0.86
Day 7,0.01071806182803394,0.68
Day 8,0.009178624176208544,0.8
Day 9,0.006766861192533065,0.94
Day 10,0.007617926434230029,0.8
Day 11,0.00750539986671638,0.78
Day 12,0.005830910807836308,0.88
Day 13,0.006017524002865887,0.88
Day 14,0.006231722964499216,0.86
Day 15,0.005088899801743013,0.82
Day 16,0.00563796140443591,0.8
Day 17,0.004576234107225867,0.8
Day 18,0.005049569496118907,0.92
Day 19,0.004137804649270972,0.94
