Day,MSE_mu,Accuracy
Day 0,0.029563184702899578,0.74
Day 1,0.012446347391843412,0.76
Day 2,0.012981631906360412,0.84
Day 3,0.00954125651919726,0.8
Day 4,0.009998714266098007,0.78
Day 5,0.009235829119675052,0.78
Day 6,0.008056145460907268,0.82
Day 7,0.007793698633394821,0.92
Day 8,0.003881847094839043,0.84
Day 9,0.00646861902069032,0.8
Day 10,0.007698531246011384,0.74
Day 11,0.005488000574463778,0.8
Day 12,0.0065392118024127375,0.86
Day 13,0.00520462644688169,0.82
Day 14,0.005208593421188777,0.86
Day 15,0.004666084649315478,0.88
Day 16,0.00403465630078119,0.9
Day 17,0.006885241054696068,0.78
Day 18,0.00502390656820543,0.88
Day 19,0.004272940103798701,0.9
