Day,MSE_mu,Accuracy
Day 0,0.01468202425407402,0.86
Day 1,0.009940536172346918,0.92
Day 2,0.0062108774029807435,0.88
Day 3,0.008871887900515341,0.88
Day 4,0.0072793983357388094,0.86
Day 5,0.006299528955310654,0.94
Day 6,0.006450851947988091,0.88
Day 7,0.006894829413802498,0.9
Day 8,0.005369896431109379,0.92
Day 9,0.00451686309063525,0.9
Day 10,0.003639266166731832,0.86
Day 11,0.004646657475299101,0.78
Day 12,0.00533974399976907,0.86
Day 13,0.005272593556112217,0.84
Day 14,0.0047113931871164815,0.86
Day 15,0.005089608240806051,0.86
Day 16,0.004141812427548139,0.84
Day 17,0.004363647590473074,0.98
Day 18,0.003919695322069999,0.82
Day 19,0.0030705086453611564,0.88
