Day,MSE_mu,Accuracy
Day 0,0.017505019214801593,0.8
Day 1,0.009696449196864677,0.86
Day 2,0.010146488050308761,0.72
Day 3,0.00998657025743155,0.82
Day 4,0.008648949005185052,0.88
Day 5,0.008672287813080779,0.88
Day 6,0.006340023527835532,0.94
Day 7,0.007094522012061896,0.8
Day 8,0.0052383743079320285,0.86
Day 9,0.006115681045299847,0.9
Day 10,0.00631153687280841,0.88
Day 11,0.004056085388423177,0.88
Day 12,0.005791880311592853,0.78
Day 13,0.0039951989869731015,0.8
Day 14,0.004824799380967807,0.78
Day 15,0.005489664845434372,0.84
Day 16,0.005138904564479913,0.9
Day 17,0.004176206976302233,0.86
Day 18,0.00377648130326972,0.9
Day 19,0.004122117736207246,0.76
