Day,MSE_mu,Accuracy
Day 0,0.031144017759902203,0.72
Day 1,0.013665302429827341,0.92
Day 2,0.0202160617975388,0.86
Day 3,0.013094059744527644,0.6
Day 4,0.008850293660837089,0.76
Day 5,0.008983620722168087,0.72
Day 6,0.007314162247349075,0.76
Day 7,0.015883027772530367,0.64
Day 8,0.016679283418829783,0.76
Day 9,0.014510833423077917,0.72
Day 10,0.009184802058414883,0.68
Day 11,0.008715603789794467,0.72
Day 12,0.009748475342064787,0.76
Day 13,0.008364843517052358,0.82
Day 14,0.009864949086035957,0.72
Day 15,0.009489305279867561,0.76
Day 16,0.007446370731945326,0.86
Day 17,0.00884413832275078,0.76
Day 18,0.0059800761706911,0.76
Day 19,0.00842545837753831,0.78
