Day,MSE_mu,Accuracy
Day 0,0.03106178850118161,0.66
Day 1,0.025193806829612923,0.66
Day 2,0.02155077570799903,0.72
Day 3,0.01661791406318731,0.62
Day 4,0.02445303005805723,0.54
Day 5,0.017689055404247856,0.7
Day 6,0.02242896352661095,0.7
Day 7,0.014760973368746867,0.68
Day 8,0.018982862254923537,0.76
Day 9,0.016110646229040654,0.66
Day 10,0.013681008582600927,0.84
Day 11,0.01386612757977584,0.76
Day 12,0.012400126164424966,0.66
Day 13,0.009697013691281937,0.76
Day 14,0.013590544739045094,0.66
Day 15,0.012032974349961789,0.8
Day 16,0.01191531469555366,0.76
Day 17,0.012977768149646218,0.74
Day 18,0.011117746420515514,0.74
Day 19,0.00801504541724835,0.74
