Day,MSE_mu,Accuracy
Day 0,0.01932595912702936,0.88
Day 1,0.014024091474146967,0.84
Day 2,0.009658499518714803,0.8
Day 3,0.012394997740914186,0.76
Day 4,0.013196050915835304,0.82
Day 5,0.010122531580287893,0.9
Day 6,0.00930837758736276,0.82
Day 7,0.007576085274960841,0.88
Day 8,0.007547639077341593,0.92
Day 9,0.008076028766371226,0.84
Day 10,0.005608541630243392,0.78
Day 11,0.00600814171236983,0.86
Day 12,0.005232576182809264,0.84
Day 13,0.006903057482634257,0.78
Day 14,0.004598296770606619,0.88
Day 15,0.006044516519707563,0.92
Day 16,0.004814463467384199,0.88
Day 17,0.005423698563129239,0.82
Day 18,0.004570812269679249,0.78
Day 19,0.004777808550143282,0.9
