Day,MSE_mu,Accuracy
Day 0,0.024985056123033193,0.7
Day 1,0.017608066478163653,0.74
Day 2,0.01672774583321823,0.74
Day 3,0.013901199462497476,0.7
Day 4,0.015046902531859052,0.66
Day 5,0.009191649826245027,0.74
Day 6,0.011169692431465978,0.74
Day 7,0.011355829545993488,0.7
Day 8,0.009257995552709059,0.8
Day 9,0.008565985832032118,0.74
Day 10,0.009767506549569075,0.74
Day 11,0.0091033534844556,0.86
Day 12,0.011883249182645484,0.78
Day 13,0.009551650556806233,0.78
Day 14,0.0076845901659458446,0.88
Day 15,0.00823077765371008,0.82
Day 16,0.00823844435311978,0.9
Day 17,0.0075975560168768256,0.86
Day 18,0.0078158949296353,0.76
Day 19,0.00616617580467275,0.92
