Day,MSE_mu,Accuracy
Day 0,0.02833953148790003,0.68
Day 1,0.013946709422434568,0.76
Day 2,0.011120439470785696,0.74
Day 3,0.013160511443127297,0.72
Day 4,0.008799120875598867,0.82
Day 5,0.013083539172951226,0.74
Day 6,0.012225939663563171,0.74
Day 7,0.011289563691352521,0.64
Day 8,0.010167789761311531,0.78
Day 9,0.010239741037882139,0.76
Day 10,0.010568600848112652,0.74
Day 11,0.009841344913619229,0.72
Day 12,0.008569201325902604,0.9
Day 13,0.008771200411304008,0.72
Day 14,0.007279904678065099,0.8
Day 15,0.0077772874488857115,0.78
Day 16,0.0060288910094317295,0.9
Day 17,0.007039906354317748,0.88
Day 18,0.006934281265031144,0.74
Day 19,0.007952428480891588,0.88
