Day,MSE_mu,Accuracy
Day 0,0.01647847345630705,0.84
Day 1,0.01063998081905951,0.78
Day 2,0.009161803345836208,0.74
Day 3,0.011068645305104303,0.84
Day 4,0.006858969609901088,0.76
Day 5,0.007247073116263547,0.82
Day 6,0.008743522429625063,0.66
Day 7,0.006765673428874355,0.74
Day 8,0.006592760982803657,0.84
Day 9,0.004223186566253001,0.92
Day 10,0.005855708222493641,0.8
Day 11,0.008613595023114054,0.74
Day 12,0.007084496155217932,0.82
Day 13,0.005254208818289008,0.82
Day 14,0.005778656393387771,0.88
Day 15,0.004848133786730257,0.84
Day 16,0.003786997862417583,0.9
Day 17,0.004670172198725262,0.84
Day 18,0.003910422714277126,0.96
Day 19,0.007056535348287399,0.7
