Day,MSE_mu,Accuracy
Day 0,0.014901492431202057,0.94
Day 1,0.016761645190357024,0.76
Day 2,0.010401147101020762,0.92
Day 3,0.010545666378880486,0.9
Day 4,0.009113737050779301,0.9
Day 5,0.009486420987195088,0.7
Day 6,0.010727392803313649,0.74
Day 7,0.01492663118360899,0.8
Day 8,0.006909370193439144,0.82
Day 9,0.008246201966552312,0.96
Day 10,0.008959539290837142,0.74
Day 11,0.006521889476986843,0.82
Day 12,0.00831264062503412,0.92
Day 13,0.005983643884588579,0.92
Day 14,0.004687540869467554,0.84
Day 15,0.0051481715265941815,0.76
Day 16,0.006042236748878116,0.84
Day 17,0.0073340509017301775,0.84
Day 18,0.004262277375602095,0.92
Day 19,0.004467014021742471,0.88
