Day,MSE_mu,Accuracy
Day 0,0.016288625137712547,0.88
Day 1,0.008437228256166393,0.9
Day 2,0.008578259259583311,0.9
Day 3,0.008364746678887668,0.9
Day 4,0.00627611109234032,0.78
Day 5,0.008602935909295516,0.72
Day 6,0.006284630180992759,0.92
Day 7,0.0046910751961212836,0.86
Day 8,0.005447880502038858,0.94
Day 9,0.005316808323412321,0.74
Day 10,0.003451853621308323,0.94
Day 11,0.004468827562311689,0.94
Day 12,0.0034023630174733607,0.8
Day 13,0.004827426560765607,0.84
Day 14,0.003255213484501271,0.92
Day 15,0.003759047885424837,0.82
Day 16,0.004249354281650738,0.82
Day 17,0.004267970090072535,0.94
Day 18,0.003510402455763994,0.92
Day 19,0.003480164148227269,0.94
