Day,MSE_mu,Accuracy
Day 0,0.026114843844952954,0.76
Day 1,0.016274530833364796,0.74
Day 2,0.016379364323799713,0.76
Day 3,0.016083323074951576,0.72
Day 4,0.012460643477638539,0.88
Day 5,0.013626651726281223,0.82
Day 6,0.0118060047072861,0.84
Day 7,0.00989973070736276,0.76
Day 8,0.00861090858311273,0.82
Day 9,0.005993689603120405,0.96
Day 10,0.005449846492499157,0.86
Day 11,0.005479198620030559,0.78
Day 12,0.009538587423527126,0.82
Day 13,0.007212268029460373,0.86
Day 14,0.007406745155052936,0.8
Day 15,0.006655205735581976,0.84
Day 16,0.006176320739019229,0.86
Day 17,0.006430286070466734,0.84
Day 18,0.007346794965951971,0.84
Day 19,0.004667024849158313,0.96
