Day,MSE_mu,Accuracy
Day 0,0.02698717029519483,0.8
Day 1,0.03393008460951791,0.48
Day 2,0.02475497507506756,0.56
Day 3,0.014010584941018596,0.74
Day 4,0.025808513152903428,0.58
Day 5,0.020199078280315575,0.76
Day 6,0.014486430060772687,0.68
Day 7,0.017576954171389533,0.88
Day 8,0.014472230131949574,0.92
Day 9,0.016896392001619374,0.66
Day 10,0.011180518218154575,0.82
Day 11,0.012169005283749769,0.66
Day 12,0.010653842059749993,0.78
Day 13,0.011235238970601535,0.74
Day 14,0.010243465901792868,0.76
Day 15,0.008283026156580563,0.9
Day 16,0.010428110760885081,0.78
Day 17,0.011627117245395925,0.86
Day 18,0.010507990094123124,0.72
Day 19,0.00867768904058508,0.78
