Day,MSE_mu,Accuracy
Day 0,0.02431207993375263,0.76
Day 1,0.014599280575021831,0.82
Day 2,0.011118574026900491,0.86
Day 3,0.016389128018653627,0.54
Day 4,0.014769888122005718,0.72
Day 5,0.01116083049433208,0.82
Day 6,0.00992267132403612,0.86
Day 7,0.01319829186594699,0.72
Day 8,0.008367649552606868,0.7
Day 9,0.01133999260438259,0.68
Day 10,0.010426078864399883,0.74
Day 11,0.00867975619611931,0.8
Day 12,0.009082259375045981,0.86
Day 13,0.012209692074828084,0.76
Day 14,0.005734610326673559,0.82
Day 15,0.00967079963059464,0.92
Day 16,0.007725514622846379,0.74
Day 17,0.006158934491116957,0.86
Day 18,0.0076888379852739774,0.68
Day 19,0.007788932726954482,0.86
