Day,MSE_mu,Accuracy
Day 0,0.04174605697917494,0.58
Day 1,0.030308923766358627,0.62
Day 2,0.020125957749131635,0.74
Day 3,0.019631248855164055,0.68
Day 4,0.015350663167531631,0.78
Day 5,0.012667447336345708,0.72
Day 6,0.013823598976207736,0.72
Day 7,0.011813534338591572,0.68
Day 8,0.014799108822030114,0.76
Day 9,0.010936197651412871,0.78
Day 10,0.012265446300430494,0.72
Day 11,0.011664625977475727,0.78
Day 12,0.013269870383684306,0.62
Day 13,0.008972450355091664,0.8
Day 14,0.009474589549506827,0.76
Day 15,0.010564150420051825,0.64
Day 16,0.007737112837743934,0.78
Day 17,0.010499810210244997,0.76
Day 18,0.007975258904587074,0.64
Day 19,0.005875202358707526,0.82
