Day,MSE_mu,Accuracy
Day 0,0.028054281540385948,0.7
Day 1,0.014254086089427014,0.8
Day 2,0.009573031586085913,0.76
Day 3,0.007374724890646099,0.78
Day 4,0.009069359165683187,0.82
Day 5,0.01057460738983714,0.82
Day 6,0.010516769566591894,0.86
Day 7,0.01002914730108614,0.84
Day 8,0.009010299693820913,0.86
Day 9,0.009137000421790433,0.76
Day 10,0.008703844078355028,0.76
Day 11,0.006855018784121302,0.8
Day 12,0.006864387356674767,0.88
Day 13,0.006479391950766011,0.82
Day 14,0.0057604588743137555,0.84
Day 15,0.006594765435242798,0.92
Day 16,0.0048266518503774945,0.86
Day 17,0.004173748673323065,0.9
Day 18,0.004807987081821302,0.84
Day 19,0.005102217169558164,0.86
