Day,MSE_mu,Accuracy
Day 0,0.026585745998454435,0.74
Day 1,0.019969989757555116,0.68
Day 2,0.014482711790269484,0.74
Day 3,0.015570832997570349,0.66
Day 4,0.014172939454150423,0.7
Day 5,0.013743503175956356,0.72
Day 6,0.008636075033255083,0.86
Day 7,0.009183555320245465,0.72
Day 8,0.009635696007641012,0.84
Day 9,0.01064217972244738,0.78
Day 10,0.008077432994624273,0.82
Day 11,0.011233840519717812,0.82
Day 12,0.008468303771103877,0.76
Day 13,0.006681122268155638,0.78
Day 14,0.0070789120075715126,0.68
Day 15,0.00528551820824001,0.84
Day 16,0.0077303088433492125,0.72
Day 17,0.006718384495222963,0.8
Day 18,0.00695127398064814,0.8
Day 19,0.0057340006524918795,0.72
