Day,MSE_mu,Accuracy
Day 0,0.041434473743432725,0.64
Day 1,0.033649512869504336,0.62
Day 2,0.0270003128349385,0.66
Day 3,0.01608761098980106,0.72
Day 4,0.027437944244354077,0.68
Day 5,0.016511743236442247,0.78
Day 6,0.017038822593988607,0.68
Day 7,0.011902659332775154,0.8
Day 8,0.01085518102673572,0.64
Day 9,0.0074216898231785925,0.88
Day 10,0.009326474244645656,0.72
Day 11,0.017216076783452015,0.66
Day 12,0.014039104981682198,0.76
Day 13,0.010574064182776656,0.86
Day 14,0.012028503726797871,0.7
Day 15,0.006591013522980198,0.78
Day 16,0.007384771079486902,0.84
Day 17,0.009970441973722743,0.76
Day 18,0.00942348293110519,0.72
Day 19,0.010487096200820036,0.74
