Day,MSE_mu,Accuracy
Day 0,0.025156964587704958,0.78
Day 1,0.01465795863458229,0.86
Day 2,0.016656104418006683,0.82
Day 3,0.009227961507285741,0.82
Day 4,0.009275497527342183,0.86
Day 5,0.008200612448241175,0.78
Day 6,0.009854087789072102,0.72
Day 7,0.008655482223958745,0.84
Day 8,0.00906949970535262,0.88
Day 9,0.006991322716539357,0.84
Day 10,0.005343631010420042,0.82
Day 11,0.00926824993990266,0.72
Day 12,0.00578976295035235,0.7
Day 13,0.00576342070405951,0.82
Day 14,0.005108115342446498,0.8
Day 15,0.005345852098008682,0.82
Day 16,0.005611068298054258,0.8
Day 17,0.004990156511014189,0.84
Day 18,0.006424572793737091,0.78
Day 19,0.004189047469421387,0.88
