Day,MSE_mu,Accuracy
Day 0,0.022855608205473547,0.84
Day 1,0.010259012895751795,0.78
Day 2,0.008939274709520065,0.82
Day 3,0.006074241948246403,0.8
Day 4,0.009574440678694446,0.92
Day 5,0.008379369871270033,0.88
Day 6,0.00593135385789234,0.82
Day 7,0.007430659832231072,0.82
Day 8,0.004956556537238687,0.9
Day 9,0.005382340732391966,0.92
Day 10,0.004382797257503248,0.92
Day 11,0.005001379622003162,0.82
Day 12,0.00490968423424512,0.86
Day 13,0.0031921263540315853,0.9
Day 14,0.004194929449572645,0.84
Day 15,0.0040599672628794424,0.84
Day 16,0.004574437735466151,0.82
Day 17,0.004171653955017297,0.86
Day 18,0.003213655773977581,0.88
Day 19,0.0034977219391572004,0.8
