Day,MSE_mu,Accuracy
Day 0,0.02949676178626746,0.76
Day 1,0.017506986829861206,0.7
Day 2,0.02126376227943785,0.56
Day 3,0.018002448850935496,0.72
Day 4,0.01542234101988959,0.7
Day 5,0.01608460082415469,0.6
Day 6,0.01306007446141024,0.74
Day 7,0.005998338788847731,0.88
Day 8,0.013710737090559928,0.78
Day 9,0.012154831269586122,0.74
Day 10,0.01010458495217291,0.72
Day 11,0.010476376987519086,0.7
Day 12,0.013006283755289554,0.64
Day 13,0.012873161359713083,0.88
Day 14,0.010096089045907992,0.86
Day 15,0.013316346484078853,0.7
Day 16,0.011365962838030987,0.88
Day 17,0.010933518358041381,0.74
Day 18,0.010881727207789528,0.78
Day 19,0.01002955250365038,0.66
