Day,MSE_mu,Accuracy
Day 0,0.03339151267803859,0.66
Day 1,0.018110618597407202,0.78
Day 2,0.012058814636630001,0.8
Day 3,0.015609934570344581,0.78
Day 4,0.012065482852636839,0.78
Day 5,0.013342077487263092,0.64
Day 6,0.0094994311788306,0.72
Day 7,0.008441560620030032,0.86
Day 8,0.012733650019461243,0.74
Day 9,0.011665204316276734,0.8
Day 10,0.011219613060766681,0.72
Day 11,0.00806943735182421,0.8
Day 12,0.009158531966192396,0.7
Day 13,0.00856263539265124,0.76
Day 14,0.009239506030674437,0.8
Day 15,0.007190825637326648,0.82
Day 16,0.00622036219785735,0.62
Day 17,0.009458374736664022,0.72
Day 18,0.009318511174424362,0.8
Day 19,0.006476376055137459,0.72
