Day,MSE_mu,Accuracy
Day 0,0.024832721484530255,0.78
Day 1,0.013231032935221532,0.88
Day 2,0.013318256500432729,0.88
Day 3,0.0074162775397489805,0.68
Day 4,0.009631379176826011,0.82
Day 5,0.007869354667805788,0.88
Day 6,0.008886191096516873,0.9
Day 7,0.006776810862907352,0.92
Day 8,0.006193495967731147,0.82
Day 9,0.005479871722928879,0.88
Day 10,0.006064984812617497,0.8
Day 11,0.007792366094359633,0.68
Day 12,0.0053747774695964146,0.9
Day 13,0.008267293026642787,0.82
Day 14,0.00467895599792609,0.84
Day 15,0.004664843684704483,0.86
Day 16,0.006267801308979189,0.84
Day 17,0.005689626323898015,0.88
Day 18,0.00509079861737838,0.92
Day 19,0.0035406239804671308,0.9
