Day,MSE_mu,Accuracy
Day 0,0.023347751036036594,0.8
Day 1,0.014778245959808855,0.76
Day 2,0.020429992187282274,0.68
Day 3,0.011943357186208092,0.9
Day 4,0.013929304427199283,0.68
Day 5,0.014277866354225387,0.76
Day 6,0.008793022851862432,0.9
Day 7,0.009433164072878066,0.76
Day 8,0.010088552312875086,0.78
Day 9,0.008669303895480443,0.92
Day 10,0.00888883262881824,0.78
Day 11,0.007731463655565046,0.82
Day 12,0.006657284780511032,0.88
Day 13,0.006123470144030986,0.76
Day 14,0.00624360066123536,0.94
Day 15,0.005706093531627702,0.82
Day 16,0.006142311349929007,0.88
Day 17,0.003943897996395122,0.72
Day 18,0.0061137385625048,0.94
Day 19,0.0047721931748003505,0.72
