Day,MSE_mu,Accuracy
Day 0,0.024058210732762916,0.8
Day 1,0.019649916415895217,0.7
Day 2,0.009613230860047383,0.82
Day 3,0.013501674149739875,0.76
Day 4,0.01235010023514819,0.82
Day 5,0.008304811392738141,0.96
Day 6,0.004963828357371567,0.92
Day 7,0.006076976773580464,0.74
Day 8,0.009317365644723352,0.78
Day 9,0.007654446705540144,0.88
Day 10,0.007843659488209104,0.88
Day 11,0.007008679769923607,0.58
Day 12,0.005039328508498618,0.82
Day 13,0.007808403065851883,0.94
Day 14,0.00435302010993814,0.82
Day 15,0.0056920518947894735,0.82
Day 16,0.004265711704641774,0.86
Day 17,0.0061103221121771535,0.9
Day 18,0.006858459901746842,0.92
Day 19,0.0052120879132025785,0.86
