Day,MSE_mu,Accuracy
Day 0,0.03101115178676158,0.7
Day 1,0.022026685821288895,0.68
Day 2,0.013278850720677277,0.82
Day 3,0.01330716819134061,0.7
Day 4,0.011998926099642074,0.82
Day 5,0.008283519572053338,0.84
Day 6,0.011339745302073094,0.72
Day 7,0.0072533501165390046,0.9
Day 8,0.006818844264301417,0.96
Day 9,0.005966492231330376,0.86
Day 10,0.005083252143794265,0.88
Day 11,0.0045592131479757075,0.84
Day 12,0.004387143904688671,0.86
Day 13,0.004296425158670926,0.92
Day 14,0.004478725500690995,0.76
Day 15,0.004401394409502299,0.72
Day 16,0.0029673436387110345,0.78
Day 17,0.004282356445938385,0.78
Day 18,0.0038001308322865115,0.8
Day 19,0.0036250434749986156,0.88
