Day,MSE_mu,Accuracy
Day 0,0.03405358996646361,0.6
Day 1,0.012300192475456367,0.84
Day 2,0.030538329027528403,0.48
Day 3,0.028981155071744254,0.66
Day 4,0.018042838658423994,0.72
Day 5,0.015395786880708926,0.88
Day 6,0.009810006531075723,0.82
Day 7,0.009256795721228468,0.78
Day 8,0.014212997879223251,0.74
Day 9,0.010904429837967248,0.7
Day 10,0.009704424950987082,0.74
Day 11,0.017203493778862496,0.68
Day 12,0.01484835650355103,0.76
Day 13,0.011845864983603804,0.82
Day 14,0.009937998403836402,0.88
Day 15,0.01279135004836407,0.84
Day 16,0.010405269771562585,0.74
Day 17,0.013555886693919807,0.78
Day 18,0.00859951139473634,0.86
Day 19,0.008318605746899936,0.84
