Day,MSE_mu,Accuracy
Day 0,0.023005385155419004,0.74
Day 1,0.012578244393337273,0.8
Day 2,0.012960903556386362,0.62
Day 3,0.011090632195626796,0.72
Day 4,0.009111130955245558,0.74
Day 5,0.009893690489732923,0.8
Day 6,0.011764491546151244,0.86
Day 7,0.006801670733295909,0.66
Day 8,0.013032392584203878,0.82
Day 9,0.007931469008096034,0.92
Day 10,0.008228968070730194,0.78
Day 11,0.007620226322670199,0.76
Day 12,0.009698627883295674,0.7
Day 13,0.007214679705313263,0.94
Day 14,0.006887376975605417,0.76
Day 15,0.006970062905219292,0.9
Day 16,0.005825330281517237,0.82
Day 17,0.004853028757724118,0.82
Day 18,0.0061746169075683095,0.8
Day 19,0.005175561383310769,0.82
