Day,MSE_mu,Accuracy
Day 0,0.025423385827830287,0.84
Day 1,0.013828293615385793,0.88
Day 2,0.008801914174078461,0.9
Day 3,0.012033429925421418,0.8
Day 4,0.008624566004474466,0.82
Day 5,0.01087419747964602,0.86
Day 6,0.00870036932154453,0.86
Day 7,0.006403850582919447,0.84
Day 8,0.008591159751698557,0.82
Day 9,0.00992828457292205,0.72
Day 10,0.006415963491977191,0.86
Day 11,0.00858988532454983,0.74
Day 12,0.004187176466839662,0.8
Day 13,0.00939435460153223,0.74
Day 14,0.008721854757669345,0.82
Day 15,0.008086041797899691,0.7
Day 16,0.005157750634447023,0.84
Day 17,0.007525598150180513,0.9
Day 18,0.006544187397864684,0.84
Day 19,0.005875541965017076,0.84
