Day,MSE_mu,Accuracy
Day 0,0.024498596928154436,0.84
Day 1,0.015338257605837862,0.78
Day 2,0.01238683670360158,0.84
Day 3,0.011368071957187878,0.92
Day 4,0.006070670869331769,0.94
Day 5,0.006766509388477407,0.78
Day 6,0.0065399623913892846,0.8
Day 7,0.004110925025449797,0.86
Day 8,0.004899758376760946,0.8
Day 9,0.008164078243613225,0.88
Day 10,0.0060752710390930085,0.78
Day 11,0.007413402905145643,0.86
Day 12,0.00559096852405067,0.9
Day 13,0.003757542598334596,0.82
Day 14,0.0059000878867753875,0.88
Day 15,0.004663338891594418,0.86
Day 16,0.004867358543710223,0.88
Day 17,0.003656534978573596,0.74
Day 18,0.004457678927581237,0.92
Day 19,0.0035167517708613104,0.88
