Day,MSE_mu,Accuracy
Day 0,0.0139548400428863,0.86
Day 1,0.010176797801375733,0.84
Day 2,0.007390752311403462,0.74
Day 3,0.00785124189713486,0.72
Day 4,0.007576286047955525,0.78
Day 5,0.011532677966775307,0.82
Day 6,0.007037710973331664,0.8
Day 7,0.007571877358720865,0.86
Day 8,0.007857942014414898,0.76
Day 9,0.006865922242307876,0.76
Day 10,0.007017016734095768,0.92
Day 11,0.007013786101328268,0.76
Day 12,0.005366254600868865,0.78
Day 13,0.008037284112793962,0.68
Day 14,0.005572915192928973,0.82
Day 15,0.006011594004558065,0.92
Day 16,0.0037762176342122896,0.96
Day 17,0.00469112253787309,0.62
Day 18,0.005218463411609143,0.9
Day 19,0.004443689734233509,0.86
