Day,MSE_mu,Accuracy
Day 0,0.028745297952517655,0.76
Day 1,0.019215143880749023,0.76
Day 2,0.015401840674781673,0.84
Day 3,0.010068820707369515,0.74
Day 4,0.0050946945554640605,0.78
Day 5,0.010980069694239423,0.64
Day 6,0.010202276441237966,0.86
Day 7,0.008133568833038613,0.72
Day 8,0.008741218936032578,0.72
Day 9,0.008479684194437929,0.78
Day 10,0.010635923762194636,0.76
Day 11,0.007951276473841914,0.86
Day 12,0.006528636177912381,0.82
Day 13,0.005900892889506655,0.84
Day 14,0.0049564867383223915,0.92
Day 15,0.005657702442159479,0.88
Day 16,0.0032936775757525564,0.9
Day 17,0.003538108468918779,0.92
Day 18,0.004524141980526255,0.82
Day 19,0.0055907419103808425,0.78
