Day,MSE_mu,Accuracy
Day 0,0.03384588019285802,0.76
Day 1,0.02408844292628975,0.76
Day 2,0.008991696169303424,0.8
Day 3,0.011710756125219695,0.8
Day 4,0.012697919873037297,0.8
Day 5,0.006853320316545194,0.82
Day 6,0.01136200433409862,0.84
Day 7,0.006143200431263163,0.84
Day 8,0.011491390624689854,0.76
Day 9,0.007180034220368482,0.86
Day 10,0.01003821821862008,0.84
Day 11,0.0049001484785330925,0.82
Day 12,0.008452840053637847,0.9
Day 13,0.005630901743537293,0.86
Day 14,0.00563055689487956,0.9
Day 15,0.005031984485835684,0.82
Day 16,0.00618323041006915,0.84
Day 17,0.004163031889809725,0.88
Day 18,0.005031928468432354,0.74
Day 19,0.0044839245361717045,0.86
