Day,MSE_mu,Accuracy
Day 0,0.013167935730425948,0.88
Day 1,0.011940437902836073,0.82
Day 2,0.013386026947312672,0.84
Day 3,0.013821364031343401,0.76
Day 4,0.010265898564787379,0.82
Day 5,0.012688104521967569,0.78
Day 6,0.007514708076101964,0.8
Day 7,0.008014307660221915,0.76
Day 8,0.008729543807950197,0.92
Day 9,0.005755046461338564,0.84
Day 10,0.00541853912993135,0.8
Day 11,0.008027841956248219,0.88
Day 12,0.008655612421601856,0.78
Day 13,0.0054262239494766275,0.9
Day 14,0.007341968038685258,0.68
Day 15,0.005270078825150912,0.84
Day 16,0.005633098601776781,0.9
Day 17,0.0038942294535816093,0.86
Day 18,0.005364985463075368,0.88
Day 19,0.003300236056261196,0.92
