Day,MSE_mu,Accuracy
Day 0,0.022550675082117298,0.72
Day 1,0.012093919746827497,0.84
Day 2,0.007258012922849594,0.78
Day 3,0.0074297872077690235,0.82
Day 4,0.008622399314133234,0.76
Day 5,0.009439898003382258,0.72
Day 6,0.008331813621723059,0.76
Day 7,0.007138064053784967,0.88
Day 8,0.00891907128905959,0.88
Day 9,0.007563283373158308,0.9
Day 10,0.00921746815781108,0.74
Day 11,0.007279375565358009,0.82
Day 12,0.007031231481658871,0.86
Day 13,0.005682821954885025,0.76
Day 14,0.004695274174755746,0.92
Day 15,0.00488847068774701,0.76
Day 16,0.005396175664381189,0.76
Day 17,0.0061357474002353635,0.86
Day 18,0.00482433725716407,0.82
Day 19,0.0043885803272881085,0.78
