Day,MSE_mu,Accuracy
Day 0,0.017197183413197745,0.82
Day 1,0.02291394450776858,0.54
Day 2,0.011168491653287572,0.86
Day 3,0.01588929161976672,0.74
Day 4,0.008617716628136981,0.88
Day 5,0.0073336095975758036,0.74
Day 6,0.006503286233568805,0.84
Day 7,0.006434009360816973,0.9
Day 8,0.00856050592280949,0.94
Day 9,0.008015362979882852,0.84
Day 10,0.00603533545612356,0.92
Day 11,0.006658615724678634,0.88
Day 12,0.005339969970168015,0.8
Day 13,0.006408168921681992,0.86
Day 14,0.003943520580597069,0.88
Day 15,0.004815631062411946,0.8
Day 16,0.0041731117931181096,0.9
Day 17,0.005038642817550237,0.88
Day 18,0.004737371009946908,0.88
Day 19,0.0041331854519746055,0.76
