Day,MSE_mu,Accuracy
Day 0,0.01436805699688225,0.88
Day 1,0.010047954802364466,0.8
Day 2,0.011447113326851586,0.72
Day 3,0.007058351210491963,0.88
Day 4,0.013096971188167902,0.8
Day 5,0.007405211089911411,0.82
Day 6,0.0075895868734580955,0.86
Day 7,0.01153283930705784,0.78
Day 8,0.006652021464322315,0.78
Day 9,0.008340923468545437,0.82
Day 10,0.0054840640801612625,0.86
Day 11,0.007067065933011522,0.88
Day 12,0.005324737038667415,0.88
Day 13,0.004926530986940995,0.94
Day 14,0.005692961301978791,0.82
Day 15,0.004136551049146003,0.92
Day 16,0.0046070184716383465,0.88
Day 17,0.004046250109392009,0.88
Day 18,0.005209671208979967,0.9
Day 19,0.0037173946718185597,0.86
