Day,MSE_mu,Accuracy
Day 0,0.036213029940953476,0.54
Day 1,0.0299830636323556,0.62
Day 2,0.02329706455624819,0.56
Day 3,0.026842592898612364,0.6
Day 4,0.016944775043362368,0.74
Day 5,0.014915374093972178,0.7
Day 6,0.015763378413490133,0.72
Day 7,0.017140730696675127,0.48
Day 8,0.009935977441310704,0.82
Day 9,0.010564365634831997,0.8
Day 10,0.012917169527742252,0.68
Day 11,0.01118639886163887,0.78
Day 12,0.005849792331568516,0.84
Day 13,0.011610563732021281,0.7
Day 14,0.00885962861464565,0.8
Day 15,0.011072355704402171,0.66
Day 16,0.011021791687880481,0.78
Day 17,0.009243758439925111,0.52
Day 18,0.010286441479192594,0.8
Day 19,0.008731676054761132,0.72
