Day,MSE_mu,Accuracy
Day 0,0.02295089884655981,0.74
Day 1,0.011464466111211382,0.9
Day 2,0.012517806491556267,0.78
Day 3,0.00933421088367143,0.8
Day 4,0.010902858800013368,0.82
Day 5,0.009723703302558395,0.72
Day 6,0.007535722053517366,0.88
Day 7,0.01083167084658908,0.7
Day 8,0.010977182546962606,0.72
Day 9,0.007165664061648544,0.94
Day 10,0.010462765760098216,0.84
Day 11,0.007971257208072879,0.84
Day 12,0.006413052677207558,0.8
Day 13,0.00647071309727956,0.8
Day 14,0.007054650920151635,0.84
Day 15,0.006485210989011648,0.76
Day 16,0.006667905405494435,0.84
Day 17,0.005375418345693652,0.82
Day 18,0.005436989636312552,0.8
Day 19,0.005938206674158272,0.78
