Day,RMSTE,RMSRE,Accuracy
Day 0,0.08161559038102432,0.10048844426418403,0.88
Day 1,0.08901083823846523,0.11068356820290925,0.8
Day 2,0.10007332638119416,0.12369782908448404,0.86
Day 3,0.09050893771206024,0.10370130772408248,0.78
Day 4,0.09338913984417474,0.11740272336678333,0.84
Day 5,0.08434083756703878,0.1069537237384234,0.72
Day 6,0.08343391377011643,0.10281844188989084,0.9
Day 7,0.09331623367516453,0.11278065114415677,0.68
Day 8,0.08345006617826836,0.10706370222226408,0.74
Day 9,0.0912466288780676,0.10648911758493698,0.92
Day 10,0.08737701047665906,0.11073055241976944,0.8
Day 11,0.09460910978387625,0.11784650833494978,0.7
Day 12,0.09332707159164592,0.1180168005515998,0.74
Day 13,0.07944345748856606,0.10083381551343053,0.78
Day 14,0.09143122250782214,0.11082069154013571,0.78
Day 15,0.0812306924005698,0.0994733981528595,0.88
Day 16,0.07763945639530549,0.09907375745003648,0.86
Day 17,0.09806101004476855,0.11511376907777453,0.82
Day 18,0.09412560071513874,0.11482711922088278,0.76
Day 19,0.09353585757818228,0.11695234763027662,0.7
