Day,MSE_mu,Accuracy
Day 0,0.02833953148790003,0.68
Day 1,0.019327441268226216,0.62
Day 2,0.02678019939116721,0.74
Day 3,0.026928305802687184,0.72
Day 4,0.02109317851538254,0.88
Day 5,0.026583056184288134,0.68
Day 6,0.025695862109053547,0.76
Day 7,0.022698360496593076,0.68
Day 8,0.028754707963645116,0.84
Day 9,0.03879811354672749,0.7
Day 10,0.01918946812920957,0.72
Day 11,0.016629694218717617,0.76
Day 12,0.01599899061426523,0.86
Day 13,0.04235561019074389,0.46
Day 14,0.03000525720464831,0.76
Day 15,0.022026012607823765,0.8
Day 16,0.015116746157971084,0.9
Day 17,0.024018225167389287,0.78
Day 18,0.04004084093746837,0.64
Day 19,0.0315721531492177,0.72
