Day,MSE_mu,Accuracy
Day 0,0.04174605697917494,0.58
Day 1,0.02480877394013893,0.76
Day 2,0.025414760797939636,0.84
Day 3,0.04607971582306388,0.62
Day 4,0.042386692643052004,0.62
Day 5,0.02166998695732031,0.74
Day 6,0.016829871578823964,0.84
Day 7,0.025485704803280364,0.7
Day 8,0.02776799071654116,0.74
Day 9,0.029461034009084397,0.76
Day 10,0.04281610050420534,0.6
Day 11,0.022991272639007472,0.74
Day 12,0.047649504884312056,0.54
Day 13,0.02308202321466449,0.8
Day 14,0.03132403441157284,0.66
Day 15,0.03725520982963608,0.62
Day 16,0.01844687553482707,0.84
Day 17,0.035045129205539434,0.54
Day 18,0.03156154171981598,0.64
Day 19,0.023734381537772443,0.7
