Day,MSE_mu,Accuracy
Day 0,0.02123234500114244,0.8
Day 1,0.024528668977492868,0.68
Day 2,0.019167956740751557,0.86
Day 3,0.021274343005528922,0.72
Day 4,0.0215111807688026,0.7
Day 5,0.03289901030682612,0.74
Day 6,0.017057062304448617,0.86
Day 7,0.046279804529888606,0.46
Day 8,0.017243375902466124,0.88
Day 9,0.01845187434299767,0.86
Day 10,0.025342209847676978,0.78
Day 11,0.03298276212423617,0.74
Day 12,0.020319592038848252,0.7
Day 13,0.02872979214991769,0.72
Day 14,0.027223879920260655,0.78
Day 15,0.03986349638070963,0.56
Day 16,0.021054989424979454,0.74
Day 17,0.018491997350920147,0.86
Day 18,0.01646132760616472,0.88
Day 19,0.036963354553864056,0.64
