Day,MSE_mu,Accuracy
Day 0,0.026224601312599686,0.64
Day 1,0.022719157769786016,0.7
Day 2,0.031238460627003688,0.72
Day 3,0.025016664358941468,0.66
Day 4,0.037338481613974746,0.74
Day 5,0.022541057062466466,0.78
Day 6,0.017086113110293608,0.8
Day 7,0.013111712239338479,0.92
Day 8,0.049879768793096205,0.64
Day 9,0.02130258297921147,0.88
Day 10,0.021289101019389505,0.84
Day 11,0.025406821172916354,0.76
Day 12,0.04595013664997219,0.58
Day 13,0.02296645621352492,0.7
Day 14,0.03339226304924108,0.68
Day 15,0.04086366060726258,0.6
Day 16,0.015971909102504914,0.78
Day 17,0.020604815664369617,0.76
Day 18,0.02506508255343671,0.6
Day 19,0.03721172833691252,0.68
