Day,MSE_mu,Accuracy
Day 0,0.025854105564032687,0.68
Day 1,0.02586996407619164,0.82
Day 2,0.017834220783056156,0.82
Day 3,0.028350706717733033,0.72
Day 4,0.017902188293797406,0.84
Day 5,0.02014610208970125,0.76
Day 6,0.015088737626058637,0.88
Day 7,0.018539125013488863,0.78
Day 8,0.01568872953629338,0.82
Day 9,0.02047931958816847,0.82
Day 10,0.01768757524417263,0.78
Day 11,0.04778762443990874,0.58
Day 12,0.015284640032624057,0.78
Day 13,0.028851487488163834,0.66
Day 14,0.030282458996768048,0.74
Day 15,0.020008755065070067,0.74
Day 16,0.014056091474676896,0.8
Day 17,0.035728842236369775,0.54
Day 18,0.01433884768803256,0.88
Day 19,0.027062614629750174,0.8
