Day,MSE_mu,Accuracy
Day 0,0.021560064701325234,0.78
Day 1,0.021871702292641845,0.76
Day 2,0.023458161306378164,0.7
Day 3,0.021149835872667284,0.82
Day 4,0.02300273169339863,0.7
Day 5,0.020674241169795254,0.88
Day 6,0.02392537905520181,0.86
Day 7,0.024661847063560064,0.86
Day 8,0.019602648897550683,0.86
Day 9,0.019327806958412543,0.76
Day 10,0.021245092205066787,0.84
Day 11,0.035130134667185016,0.72
Day 12,0.028822921178390866,0.82
Day 13,0.026402002082287004,0.72
Day 14,0.026200128313785456,0.76
Day 15,0.018354245934736304,0.86
Day 16,0.028509855241326668,0.68
Day 17,0.02625264767957136,0.84
Day 18,0.01923581233003008,0.78
Day 19,0.018447380170717047,0.8
