Day,MSE_mu,Accuracy
Day 0,0.022614565763601706,0.86
Day 1,0.032780915212405316,0.68
Day 2,0.03016761146383456,0.68
Day 3,0.020652992634170704,0.8
Day 4,0.03481530490712295,0.7
Day 5,0.03046279429791068,0.74
Day 6,0.019149457122194093,0.72
Day 7,0.020595295970133414,0.7
Day 8,0.023970627140337156,0.68
Day 9,0.027682308001822375,0.82
Day 10,0.017297416061159813,0.86
Day 11,0.0285948184199588,0.72
Day 12,0.03008383049114727,0.66
Day 13,0.021776017222486684,0.8
Day 14,0.024188529097813955,0.72
Day 15,0.030704533572848462,0.64
Day 16,0.013596053929129341,0.8
Day 17,0.01923967216480867,0.86
Day 18,0.019027200266590386,0.86
Day 19,0.02461449882749222,0.8
