Day,MSE_mu,Accuracy
Day 0,0.025727608524828874,0.74
Day 1,0.03694892049522101,0.7
Day 2,0.0350392771492036,0.66
Day 3,0.021791795069794475,0.74
Day 4,0.014411260534818416,0.94
Day 5,0.03120435924393793,0.62
Day 6,0.023127286961281808,0.8
Day 7,0.02310021004918363,0.82
Day 8,0.02824541655069254,0.76
Day 9,0.032632528237679016,0.7
Day 10,0.015058286852893378,0.88
Day 11,0.027053367320857058,0.74
Day 12,0.027218330399519246,0.72
Day 13,0.024734454093614088,0.68
Day 14,0.03295879893125986,0.8
Day 15,0.027190141365083888,0.64
Day 16,0.021461815716919602,0.82
Day 17,0.01736026129550804,0.82
Day 18,0.022432505579725107,0.84
Day 19,0.020671608673091365,0.8
