Day,MSE_mu,Accuracy
Day 0,0.01403608145082576,0.88
Day 1,0.030734725455455487,0.76
Day 2,0.03906760764226843,0.6
Day 3,0.025418550691616186,0.72
Day 4,0.014856257300166945,0.78
Day 5,0.02186428389151095,0.8
Day 6,0.022099248956084262,0.84
Day 7,0.027818873727307784,0.78
Day 8,0.020457415383073232,0.74
Day 9,0.038929143522949156,0.6
Day 10,0.027492677653693717,0.72
Day 11,0.031763832211719294,0.78
Day 12,0.02033869999183987,0.78
Day 13,0.02526911387041965,0.78
Day 14,0.03959945107490844,0.56
Day 15,0.032041917342729834,0.78
Day 16,0.033952617400447097,0.72
Day 17,0.03257385335238578,0.68
Day 18,0.038662122651793515,0.68
Day 19,0.021956130848124162,0.8
