Day,MSE_mu,Accuracy
Day 0,0.02467234403577558,0.8
Day 1,0.02434862286075328,0.68
Day 2,0.03481195271782605,0.72
Day 3,0.03729565561644389,0.6
Day 4,0.023857466285092138,0.8
Day 5,0.026535547252273268,0.74
Day 6,0.022819919511988244,0.74
Day 7,0.03365770371006171,0.64
Day 8,0.028229808782178477,0.8
Day 9,0.028034539600652927,0.66
Day 10,0.03042074518798797,0.72
Day 11,0.037953382305617706,0.64
Day 12,0.02486764625689948,0.72
Day 13,0.02052346929067101,0.8
Day 14,0.015133761057078638,0.82
Day 15,0.027260827892240973,0.8
Day 16,0.02621064634240476,0.68
Day 17,0.01648400775297859,0.76
Day 18,0.027404826652672146,0.66
Day 19,0.01977221951539235,0.86
