Day,MSE_mu,Accuracy
Day 0,0.017631424544719086,0.92
Day 1,0.020519869099593538,0.86
Day 2,0.038050512625165255,0.54
Day 3,0.026668401009622467,0.82
Day 4,0.030659306271873524,0.56
Day 5,0.05439685345538341,0.48
Day 6,0.016824325007559628,0.86
Day 7,0.042575219174649494,0.6
Day 8,0.0171886746467336,0.86
Day 9,0.025716636258391306,0.7
Day 10,0.023305702944339493,0.76
Day 11,0.014547377504383884,0.84
Day 12,0.022111252083514246,0.86
Day 13,0.04029750881924546,0.62
Day 14,0.036603528136535626,0.66
Day 15,0.03022600830587723,0.64
Day 16,0.017809602904915064,0.84
Day 17,0.02234309855994863,0.74
Day 18,0.02236721558517351,0.84
Day 19,0.020807898229613656,0.78
