Day,MSE_mu,Accuracy
Day 0,0.017770378511752772,0.86
Day 1,0.016791451346564665,0.84
Day 2,0.02720795370719541,0.68
Day 3,0.02096859873681884,0.9
Day 4,0.022630824270042812,0.72
Day 5,0.024751716528766527,0.72
Day 6,0.023501093679528854,0.76
Day 7,0.04720341819734782,0.6
Day 8,0.017032767108703904,0.92
Day 9,0.02964311324340811,0.82
Day 10,0.019288882887685283,0.86
Day 11,0.016140624679186488,0.82
Day 12,0.02195881168051742,0.74
Day 13,0.029618375811064326,0.78
Day 14,0.01765047678185333,0.86
Day 15,0.02218896021058583,0.88
Day 16,0.015262271480680274,0.8
Day 17,0.021131006317856735,0.86
Day 18,0.015054546479474865,0.82
Day 19,0.030437111247555396,0.72
