Day,MSE_mu,Accuracy
Day 0,0.02446526035960095,0.7
Day 1,0.029401346339743506,0.76
Day 2,0.024102599936216614,0.56
Day 3,0.018358169291726973,0.82
Day 4,0.06685305476183613,0.4
Day 5,0.037815388173112134,0.62
Day 6,0.025814858040946236,0.78
Day 7,0.02747338618060993,0.74
Day 8,0.01770209483527248,0.86
Day 9,0.04196872558318436,0.46
Day 10,0.02318782860340956,0.78
Day 11,0.016414807164683166,0.84
Day 12,0.027937477438671535,0.82
Day 13,0.022105849563212873,0.82
Day 14,0.03187659176718278,0.72
Day 15,0.02647973772757086,0.76
Day 16,0.02457400513059539,0.7
Day 17,0.023092692856706717,0.8
Day 18,0.02251895158796275,0.62
Day 19,0.02254704469547744,0.88
