Day,MSE_mu,Accuracy
Day 0,0.02993793150762799,0.62
Day 1,0.01905488985759445,0.76
Day 2,0.0213395915297894,0.84
Day 3,0.025819993097430237,0.82
Day 4,0.020829837326526487,0.76
Day 5,0.031136033914648795,0.8
Day 6,0.038654605967886134,0.76
Day 7,0.03017128636007156,0.7
Day 8,0.04327641171692644,0.48
Day 9,0.018786433585457764,0.82
Day 10,0.02720593875937584,0.76
Day 11,0.04842261723477433,0.64
Day 12,0.020723709039174223,0.8
Day 13,0.019597211569996612,0.82
Day 14,0.022223473852298156,0.88
Day 15,0.028596023514825958,0.74
Day 16,0.05732737120731337,0.56
Day 17,0.02277857627478392,0.8
Day 18,0.019297406337843326,0.88
Day 19,0.0347752149336113,0.64
