Day,MSE_mu,Accuracy
Day 0,0.01555031497363831,0.92
Day 1,0.02443805042808595,0.8
Day 2,0.033677722381174155,0.66
Day 3,0.026165431543700993,0.7
Day 4,0.019922481737047564,0.72
Day 5,0.022901717315522048,0.76
Day 6,0.02497837432511934,0.84
Day 7,0.021313806924326426,0.8
Day 8,0.027274349378246663,0.76
Day 9,0.013778581468632917,0.92
Day 10,0.017206709676347087,0.84
Day 11,0.016700992859621833,0.84
Day 12,0.024658626267042887,0.82
Day 13,0.02395791821644531,0.78
Day 14,0.020647946009045463,0.76
Day 15,0.019303957807837325,0.86
Day 16,0.0272257259966592,0.84
Day 17,0.027412216876035775,0.78
Day 18,0.01893569127206807,0.82
Day 19,0.02272081720839295,0.82
